data_pagamento,ano,mes,id_tempo
2016-09-16,2016,9,372
2016-09-20,2016,9,373
2016-09-21,2016,9,374
2016-09-22,2016,9,375
2016-09-23,2016,9,376
2016-09-26,2016,9,377
2016-09-27,2016,9,378
2016-09-28,2016,9,379
2016-09-29,2016,9,380
2016-09-30,2016,9,381
2016-10-03,2016,10,382
2016-10-05,2016,10,383
2016-10-06,2016,10,384
2016-10-07,2016,10,385
2016-10-10,2016,10,386
2016-10-13,2016,10,387
2016-10-14,2016,10,388
2016-10-17,2016,10,389
2016-10-18,2016,10,390
2016-10-19,2016,10,391
2016-10-20,2016,10,392
2016-10-21,2016,10,393
2016-10-24,2016,10,394
2016-10-25,2016,10,395
2016-10-26,2016,10,396
2016-10-27,2016,10,397
2016-10-28,2016,10,398
2016-10-31,2016,10,399
2016-11-01,2016,11,400
2016-11-03,2016,11,401
2016-11-04,2016,11,402
2016-11-07,2016,11,403
2016-11-08,2016,11,404
2016-11-09,2016,11,405
2016-11-10,2016,11,406
2016-11-11,2016,11,407
2016-11-16,2016,11,408
2016-11-17,2016,11,409
2016-11-18,2016,11,410
2016-11-21,2016,11,411
2016-11-22,2016,11,412
2016-11-23,2016,11,413
2016-11-24,2016,11,414
2016-11-25,2016,11,415
2016-11-28,2016,11,416
2016-11-29,2016,11,417
2016-11-30,2016,11,418
2016-12-01,2016,12,419
2016-12-02,2016,12,420
2016-12-05,2016,12,421
2016-12-06,2016,12,422
2016-12-07,2016,12,423
2016-12-08,2016,12,424
2016-12-09,2016,12,425
2016-12-12,2016,12,426
2016-12-13,2016,12,427
2016-12-14,2016,12,428
2016-12-15,2016,12,429
2016-12-16,2016,12,430
2016-12-19,2016,12,431
2016-12-20,2016,12,432
2016-12-21,2016,12,433
2016-12-22,2016,12,434
2016-12-23,2016,12,435
2016-12-27,2016,12,436
2016-12-28,2016,12,437
2016-12-29,2016,12,438
2016-12-30,2016,12,439
2017-01-10,2017,1,440
2017-01-11,2017,1,441
2017-01-12,2017,1,442
2017-01-13,2017,1,443
2017-01-16,2017,1,444
2017-01-17,2017,1,445
2017-01-20,2017,1,446
2017-01-23,2017,1,447
2017-01-24,2017,1,448
2017-01-25,2017,1,449
2017-01-26,2017,1,450
2017-01-27,2017,1,451
2017-01-30,2017,1,452
2017-01-31,2017,1,453
2017-02-01,2017,2,454
2017-02-02,2017,2,455
2017-02-03,2017,2,456
2017-02-07,2017,2,457
2017-02-08,2017,2,458
2017-02-09,2017,2,459
2017-02-10,2017,2,460
2017-02-13,2017,2,461
2017-02-14,2017,2,462
2017-02-15,2017,2,463
2017-02-16,2017,2,464
2017-02-17,2017,2,465
2017-02-20,2017,2,466
2017-02-21,2017,2,467
2017-02-22,2017,2,468
2017-02-23,2017,2,469
2017-02-24,2017,2,470
2017-03-01,2017,3,471
2017-03-02,2017,3,472
2017-03-03,2017,3,473
2017-03-06,2017,3,474
2017-03-07,2017,3,475
2017-03-08,2017,3,476
2017-03-09,2017,3,477
2017-03-10,2017,3,478
2017-03-14,2017,3,479
2017-03-15,2017,3,480
2017-03-16,2017,3,481
2017-03-17,2017,3,482
2017-03-20,2017,3,483
2017-03-21,2017,3,484
2017-03-22,2017,3,485
2017-03-23,2017,3,486
2017-03-24,2017,3,487
2017-03-27,2017,3,488
2017-03-28,2017,3,489
2017-03-29,2017,3,490
2017-03-30,2017,3,491
2017-03-31,2017,3,492
2017-04-03,2017,4,493
2017-04-04,2017,4,494
2017-04-05,2017,4,495
2017-04-06,2017,4,496
2017-04-07,2017,4,497
2017-04-10,2017,4,498
2017-04-11,2017,4,499
2017-04-12,2017,4,500
2017-04-17,2017,4,501
2017-04-19,2017,4,502
2017-04-20,2017,4,503
2017-04-24,2017,4,504
2017-04-25,2017,4,505
2017-04-26,2017,4,506
2017-04-27,2017,4,507
2017-04-28,2017,4,508
2017-05-02,2017,5,509
2017-05-03,2017,5,510
2017-05-04,2017,5,511
2017-05-05,2017,5,512
2017-05-08,2017,5,513
2017-05-09,2017,5,514
2017-05-10,2017,5,515
2017-05-11,2017,5,516
2017-05-15,2017,5,517
2017-05-16,2017,5,518
2017-05-17,2017,5,519
2017-05-18,2017,5,520
2017-05-19,2017,5,521
2017-05-22,2017,5,522
2017-05-23,2017,5,523
2017-05-24,2017,5,524
2017-05-25,2017,5,525
2017-05-26,2017,5,526
2017-05-29,2017,5,527
2017-05-30,2017,5,528
2017-05-31,2017,5,529
2017-06-01,2017,6,530
2017-06-02,2017,6,531
2017-06-05,2017,6,532
2017-06-06,2017,6,533
2017-06-07,2017,6,534
2017-06-08,2017,6,535
2017-06-09,2017,6,536
2017-06-12,2017,6,537
2017-06-13,2017,6,538
2017-06-14,2017,6,539
2017-06-19,2017,6,540
2017-06-20,2017,6,541
2017-06-21,2017,6,542
2017-06-23,2017,6,543
2017-06-26,2017,6,544
2017-06-27,2017,6,545
2017-06-28,2017,6,546
2017-06-29,2017,6,547
2017-06-30,2017,6,548
2017-07-03,2017,7,549
2017-07-05,2017,7,550
2017-07-06,2017,7,551
2017-07-07,2017,7,552
2017-07-10,2017,7,553
2017-07-11,2017,7,554
2017-07-12,2017,7,555
2017-07-14,2017,7,556
2017-07-17,2017,7,557
2017-07-18,2017,7,558
2017-07-19,2017,7,559
2017-07-20,2017,7,560
2017-07-24,2017,7,561
2017-07-25,2017,7,562
2017-07-26,2017,7,563
2017-07-27,2017,7,564
2017-07-28,2017,7,565
2017-07-31,2017,7,566
2017-08-01,2017,8,567
2017-08-02,2017,8,568
2017-08-03,2017,8,569
2017-08-04,2017,8,570
2017-08-07,2017,8,571
2017-08-08,2017,8,572
2017-08-09,2017,8,573
2017-08-10,2017,8,574
2017-08-11,2017,8,575
2017-08-16,2017,8,576
2017-08-17,2017,8,577
2017-08-18,2017,8,578
2017-08-21,2017,8,579
2017-08-22,2017,8,580
2017-08-23,2017,8,581
2017-08-24,2017,8,582
2017-08-25,2017,8,583
2017-08-28,2017,8,584
2017-08-29,2017,8,585
2017-08-30,2017,8,586
2017-08-31,2017,8,587
2017-09-01,2017,9,588
2017-09-04,2017,9,589
2017-09-05,2017,9,590
2017-09-06,2017,9,591
2017-09-08,2017,9,592
2017-09-11,2017,9,593
2017-09-12,2017,9,594
2017-09-13,2017,9,595
2017-09-14,2017,9,596
2017-09-15,2017,9,597
2017-09-18,2017,9,598
2017-09-19,2017,9,599
2017-09-20,2017,9,600
2017-09-21,2017,9,601
2017-09-22,2017,9,602
2017-09-25,2017,9,603
2017-09-26,2017,9,604
2017-09-27,2017,9,605
2017-09-28,2017,9,606
2017-09-29,2017,9,607
2017-10-02,2017,10,608
2017-10-03,2017,10,609
2017-10-04,2017,10,610
2017-10-05,2017,10,611
2017-10-06,2017,10,612
2017-10-09,2017,10,613
2017-10-10,2017,10,614
2017-10-11,2017,10,615
2017-10-16,2017,10,616
2017-10-17,2017,10,617
2017-10-18,2017,10,618
2017-10-19,2017,10,619
2017-10-20,2017,10,620
2017-10-23,2017,10,621
2017-10-24,2017,10,622
2017-10-25,2017,10,623
2017-10-26,2017,10,624
2017-10-27,2017,10,625
2017-10-30,2017,10,626
2017-10-31,2017,10,627
2017-11-01,2017,11,628
2017-11-06,2017,11,629
2017-11-07,2017,11,630
2017-11-08,2017,11,631
2017-11-09,2017,11,632
2017-11-10,2017,11,633
2017-11-13,2017,11,634
2017-11-14,2017,11,635
2017-11-16,2017,11,636
2017-11-17,2017,11,637
2017-11-20,2017,11,638
2017-11-21,2017,11,639
2017-11-22,2017,11,640
2017-11-23,2017,11,641
2017-11-27,2017,11,642
2017-11-28,2017,11,643
2017-11-30,2017,11,644
2017-12-01,2017,12,645
2017-12-04,2017,12,646
2017-12-05,2017,12,647
2017-12-06,2017,12,648
2017-12-07,2017,12,649
2017-12-08,2017,12,650
2017-12-11,2017,12,651
2017-12-12,2017,12,652
2017-12-13,2017,12,653
2017-12-14,2017,12,654
2017-12-15,2017,12,655
2017-12-18,2017,12,656
2017-12-19,2017,12,657
2017-12-20,2017,12,658
2017-12-21,2017,12,659
2017-12-22,2017,12,660
2017-12-26,2017,12,661
